brand_tag,products
elleven,1
ulric-de-varens,1
layers,1
justice-league,1
ceriz,1
little-county,1
unmade,1
charchit,1
jean-paul-gaultier,1
vm,1
lotto,1
unravel-india,1
happy-khajana,1
kinder-kids,1
mf,1
lewawaa,1
upakarma,1
havaianas,1
idalia,1
avi-living,1
green-girgit,1
aasi---house-of-nayo,1
rey-naturals,1
magic-needles,1
royal-enfield,1
divination,1
lush--beyond,1
kid1,1
shashvi,1
canary-london,1
siril,1
softio,1
global-beauty-secrets,1
mash-unlimited,1
essenza-di-wills,1
softsens,1
india-circus,1
gallus,1
otorva,1
abena,1
junk-de-luxe,1
proyog,1
juniors,1
armaan-ethnic,1
tarama,1
roving-mode,1
wuxi,1
pure-sense,1
lenphor,1
presto,1
shirt-theory,1
tuskey,1
mascln-sassafras,1
queue,1
stupid-cupid,1
nuluv,1
misto,1
jaipur-morni,1
hileder,1
milani,1
funku-fashion,1
hammer-home,1
paramount-chikan,1
urgear,1
sidrock,1
raghav,1
india-circus-by-krsnaa-mehta,1
fiama,1
madsto,1
pure-papayacare,1
proline,1
castle,1
game-begins,1
neoz,1
cute-lemons,1
vsquared2,1
minions-by-kook-n-keech,1
dolce--gabbana,1
shavya,1
rozia,1
cdi,1
yk-organic,1
ibso,1
cloth-haus-india,1
june--harry,1
imur,1
win9,1
almo-wear,1
ray-ban,1
khadi-mauri-herbal,1
curvezi-by-ziyaa,1
ktein,1
many-frocks-,1
ps-pret-by-payal-singhal,1
doriya,1
genius,1
urban-dream,1
mafe,1
hill-street,1
chutput,1
home-sparkle,1
loccitane-en-provence,1
cosrx,1
madhuram,1
american-elm,1
mpl-sports,1
stoa-paris,1
hugo-boss,1
gulaab-jaipur,1
j-turritopsis,1
market99,1
ourdve,1
cinocci,1
taneira,1
amoliconcepts,1
poplins,1
mamma-presto,1
hasten,1
anokherang,1
doro,1
kydzi,1
vitro,1
ultra,1
fusion-beats,1
rustorange,1
j-hampstead,1
sini-mini,1
marc-louis,1
oddcroft,1
kaltheos,1
nitvan,1
zigo,1
bonzeal,1
cloak--decker-by-monte-carlo,1
kook-n-keech-batman,1
chupps,1
egle,1
cosa-nostraa,1
indethnic,1
perfly-by-decathlon,1
inocencia,1
gallery99,1
relish,1
dkny,1
ramas,1
styl-co,1
jaipur-attire,1
disney-by-wear-your-mind,1
silvertraq,1
kook-n-keech-toons,1
jewels-gehna,1
wear-your-mind,1
chimprala,1
bange,1
sherrif-shoes,1
nds-niharikaa-designer-studio,1
house-of-jutti,1
maaesa,1
disney-by-dressberry,1
regal-essence,1
tic-tac-toe,1
metro-kids-company,1
hf-journey,1
copperline,1
pinwheel,1
r-dezino,1
motogp,1
miss--chief,1
la-intimo,1
campana,1
dyca,1
prolixr,1
secret-temptation,1
westwood,1
be-bodywise,1
bella-casa,1
immri,1
james-bond,1
tattva,1
flatheads,1
delan,1
elixir-man,1
ronzille,1
you-got-plan-b,1
royal-mirage,1
fluffalump,1
adorenite,1
moms-home,1
centrestage,1
chini-c,1
nauti-kidz,1
escobar,1
slickfix,1
ethnic-basket,1
powerpuff-girls-by-kook-n-keech-teens,1
babymoon,1
katn-india,1
swiss-republic,1
jewelz,1
kara,1
piccolo,1
greciilooks,1
cai,1
ralph-lauren,1
garnier,1
richard-parker-by-pantaloons,1
ashnaina,1
fire-boltt,1
deyann-plus,1
indiyung,1
body-cupid,1
tiber-taber,1
hangup-plus,1
tulip-21,1
ariana,1
dot--key,1
kehairtherapy,1
pure-decor,1
syska,1
chocozone,1
lecalla,1
inesis-by-decathlon,1
globally-indian,1
fashionuma,1
ny-bae,1
runwayin,1
force-10,1
incolor,1
khadi-essentials,1
appulse,1
walrus,1
imt,1
hiara-jewels,1
gosriki,1
skirans,1
boxer,1
dazzle,1
shffl,1
berrylush-curve,1
exclusiva,1
butipure,1
plutus,1
roxx,1
yoho,1
vaya,1
baby-moo,1
american-archer,1
a-homes-grace,1
spinz,1
imperative,1
besafe-forever,1
careplus,1
soultree,1
vaghbhatt,1
matrix,1
milton,1
welcome,1
ambraee,1
essentia-extracts,1
inatur,1
jansi,1
perfumers-club,1
priya-naturals,1
olay,1
momin-libas,1
living-scapes-by-pantaloons,1
tom-ford,1
kbz,1
tissu,1
privo,1
navysport,1
silk-bazar,1
varde,1
bellissa,1
footsoul,1
juniper-plus,1
ikin,1
ix-impression,1
elle-18,1
s9home-by-seasons,1
vogard,1
vaividhyam,1
pmd-fashion,1
young,1
livon,1
fabpixel,1
lovegen,1
viv,1
indica,1
kenneth-cole,1
beaute-secrets,1
dyson,1
welspun,1
dekorly,1
tiara,1
anastasia-beverly-hills,1
mbe,1
cotn-soft,1
disney,1
fashion-dwar,1
the-art-house,1
shubhvastra,1
amrutam-fab,1
rajgranth,1
kook-n-keech-superman,1
honeybud,1
playboy,1
paulas-choice,1
d1-milano,1
oxyglow,1
rare-roots,1
